고유 ID,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인율,수익,관리자,지역-1,주문 번호-1,반품?
76,2018-07-11,2018-07-15,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,FUR-FU-10000666,가구,가구류,"Rubbermaid Frame, Black",224175.6,2,0,60526.8,박진석,강원,IN-2018-32091,Yes
77,2018-07-11,2018-07-15,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,OFF-ST-10001824,사무용품,수납용품,"Rogers Box, Single Width",73440,3,0,4406.4,박진석,강원,IN-2018-32091,Yes
83,2018-11-13,2018-11-19,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,OFF-LA-10003778,사무용품,라벨,"Novimex File Folder Labels, Alphabetical",32925.6,4,0,8445.6,김성식,수도권,,
84,2018-11-13,2018-11-19,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,TEC-AC-10001278,사무기기,악세사리,"Enermax Flash Drive, USB",127693.8,3,0,30569.4,김성식,수도권,,
85,2018-11-13,2018-11-19,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,OFF-ST-10000704,사무용품,수납용품,"Rogers File Cart, Blue",573933.6,4,0,212241.6,김성식,수도권,,
86,2018-12-09,2018-12-13,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,OFF-ST-10003810,사무용품,수납용품,"Tenex Box, Single Width",118024.2,7,0,41126.4,최진수,영남,,
87,2018-12-09,2018-12-13,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,OFF-EN-10000114,사무용품,봉투,"Kraft Clasp Envelope, Security-Tint",46512,4,0,856.8,최진수,영남,,
88,2018-09-14,2018-09-20,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,OFF-AR-10001405,사무용품,필기구,"Binney & Smith Highlighters, Fluorescent",54621,3,0,7068.6,최진수,영남,,
89,2018-09-14,2018-09-20,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,FUR-CH-10002188,가구,의자,"SAFCO Steel Folding Chair, Set of Two",358876.8,4,0,150674.4,최진수,영남,,
91,2018-02-28,2018-03-05,표준 배송,ZC-21910,이유영,소비자,부산진구,부산광역시,대한민국,OFF-BI-10002424,사무용품,바인더,"Avery Binder, Economy",15789.6,2,0.4,244.8,최진수,영남,,
93,2018-06-25,2018-06-30,표준 배송,FC-14245,유옥자,홈 오피스,옥천군,충청북도,대한민국,OFF-PA-10004260,사무용품,종이,"Xerox Memo Slips, Recycled",29062.656,4,0.47,-5576.544,금나나,충청,,
99,2018-11-03,2018-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-FA-10001187,사무용품,파스너,"Stockwell Paper Clips, Bulk Pack",27784.8,2,0,9424.8,금나나,충청,IN-2018-60476,Yes
100,2018-11-03,2018-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-FA-10001045,사무용품,파스너,"Stockwell Staples, 12 Pack",50184,5,0,3978,금나나,충청,IN-2018-60476,Yes
101,2018-11-03,2018-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-EN-10003000,사무용품,봉투,"Cameo Mailers, Recycled",188496,5,0,75276,금나나,충청,IN-2018-60476,Yes
102,2018-11-03,2018-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-BI-10001904,사무용품,바인더,"Cardinal Binder Covers, Durable",27540,2,0,13464,금나나,충청,IN-2018-60476,Yes
103,2018-11-03,2018-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,OFF-AR-10002727,사무용품,필기구,"Stanley Pencil Sharpener, Fluorescent",50551.2,2,0,14137.2,금나나,충청,IN-2018-60476,Yes
106,2018-10-17,2018-10-23,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,OFF-BI-10004334,사무용품,바인더,"Avery Hole Reinforcements, Durable",12056.4,2,0,2019.6,김성식,수도권,,
107,2018-10-17,2018-10-23,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,OFF-ST-10001026,사무용품,수납용품,"Fellowes Trays, Single Width",292842,5,0,131733,김성식,수도권,,
108,2018-10-17,2018-10-23,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,OFF-EN-10003838,사무용품,봉투,"Cameo Peel and Seal, with clear poly window",25030.8,1,0,7252.2,김성식,수도권,,
113,2018-11-03,2018-11-07,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,OFF-LA-10002088,사무용품,라벨,"Novimex Round Labels, Laser Printer Compatible",6395.4,1,0,2998.8,금나나,충청,,
114,2018-11-03,2018-11-07,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,FUR-TA-10002256,가구,탁자,"Hon Wood Table, Fully Assembled",2717280,5,0,923814,금나나,충청,,
117,2018-07-14,2018-07-20,표준 배송,MS-17710,한정호,소비자,음성군,충청북도,대한민국,OFF-SU-10001686,사무용품,일반 사무용품,"Kleencut Trimmer, Easy Grip",118559.7,3,0.1,10511.1,금나나,충청,,
130,2018-05-05,2018-05-07,빠른 배송,CC-12475,노재성,소비자,수성구,대구광역시,대한민국,TEC-CO-10002040,사무기기,복사기,"Brother Fax Machine, Digital",1298174.4,4,0,545169.6,최진수,영남,,
132,2018-05-09,2018-05-15,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,OFF-BI-10002907,사무용품,바인더,"Wilson Jones 3-Hole Punch, Economy",57099.6,2,0,7956,최진수,영남,,
133,2018-05-09,2018-05-15,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,OFF-AP-10002371,사무용품,가전,"KitchenAid Blender, Silver",100827,1,0,43329.6,최진수,영남,,
134,2018-05-09,2018-05-15,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,FUR-TA-10004711,가구,탁자,"Lesro Conference Table, Adjustable Height",4384827,5,0,306918,최진수,영남,,
135,2018-05-09,2018-05-15,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,OFF-PA-10004124,사무용품,종이,"SanDisk Message Books, 8.5 x 11",114076.8,4,0,3304.8,최진수,영남,,
136,2018-12-13,2018-12-18,표준 배송,ZD-21925,강현석,소비자,고양시,경기도,대한민국,FUR-TA-10003576,가구,탁자,"Hon Coffee Table, Adjustable Height",454232.52,2,0.3,64878.12,김성식,수도권,,
150,2018-03-13,2018-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-PA-10000382,사무용품,종이,"SanDisk Computer Printout Paper, Multicolor",63648,2,0,26071.2,김성식,수도권,,
151,2018-03-13,2018-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-AR-10001773,사무용품,필기구,"Sanford Markers, Water Color",53917.2,2,0,11811.6,김성식,수도권,,
152,2018-03-13,2018-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-FA-10003604,사무용품,파스너,"Stockwell Paper Clips, Assorted Sizes",46267.2,4,0,6364.8,김성식,수도권,,
153,2018-03-13,2018-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,FUR-CH-10004694,가구,의자,"Office Star Rocking Chair, Black",988747.2,7,0,355786.2,김성식,수도권,,
154,2018-03-13,2018-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-PA-10000302,사무용품,종이,"Eaton Computer Printout Paper, Multicolor",85557.6,3,0,31579.2,김성식,수도권,,
155,2018-03-13,2018-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,OFF-EN-10003601,사무용품,봉투,"GlobeWeis Clasp Envelope, Set of 50",50490,5,0,0,김성식,수도권,,
156,2018-03-13,2018-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,FUR-FU-10000496,가구,가구류,"Eldon Clock, Duo Pack",115423.2,2,0,54223.2,김성식,수도권,,
157,2018-12-22,2018-12-26,표준 배송,DF-13135,문익현,소비자,부평구,인천광역시,대한민국,OFF-BI-10004651,사무용품,바인더,"Cardinal Binding Machine, Clear",166712.472,4,0.17,58143.672,김성식,수도권,,
158,2018-12-22,2018-12-26,표준 배송,DF-13135,문익현,소비자,부평구,인천광역시,대한민국,OFF-AR-10000539,사무용품,필기구,"Boston Markers, Easy-Erase",59508.432,3,0.27,-16318.368,김성식,수도권,,
159,2018-09-23,2018-09-27,표준 배송,JW-15220,현유희,기업 고객,의령군,경상남도,대한민국,OFF-LA-10003396,사무용품,라벨,"Avery Color Coded Labels, Laser Printer Compatible",67779,5,0,14841,최진수,영남,,
160,2018-09-23,2018-09-27,표준 배송,JW-15220,현유희,기업 고객,의령군,경상남도,대한민국,OFF-ST-10004325,사무용품,수납용품,"Eldon Box, Single Width",52479,5,0,20961,최진수,영남,,
163,2018-05-08,2018-05-12,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,OFF-SU-10004177,사무용품,일반 사무용품,"Fiskars Box Cutter, Easy Grip",151531.2,4,0,33292.8,금나나,충청,,
164,2018-05-08,2018-05-12,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,OFF-AR-10001228,사무용품,필기구,"Binney & Smith Pens, Easy-Erase",37362.6,3,0,13035.6,금나나,충청,,
165,2018-05-08,2018-05-12,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,FUR-CH-10002213,가구,의자,"Hon Executive Leather Armchair, Black",1398848.4,3,0,139811.4,금나나,충청,,
166,2018-05-19,2018-05-24,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,OFF-FA-10000027,사무용품,파스너,"Stockwell Rubber Bands, Bulk Pack",29633.04,2,0.1,12497.04,김성식,수도권,,
167,2018-05-19,2018-05-24,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,FUR-BO-10002819,가구,책장,"Ikea Stackable Bookrack, Traditional",225056.88,2,0.1,47454.48,김성식,수도권,,
168,2018-05-19,2018-05-24,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,OFF-SU-10004306,사무용품,일반 사무용품,"Kleencut Trimmer, Steel",187409.7,5,0.1,-12561.3,김성식,수도권,,
169,2018-12-23,2018-12-25,빠른 배송,MC-17845,우하민,소비자,목포시,전라남도,대한민국,TEC-AC-10000857,사무기기,악세사리,"Belkin Router, Programmable",438000.75,3,0.45,-175223.25,정신,호남,,
170,2018-12-23,2018-12-25,빠른 배송,MC-17845,우하민,소비자,목포시,전라남도,대한민국,OFF-AR-10000681,사무용품,필기구,"Binney & Smith Sketch Pad, Water Color",27769.5,1,0.45,-15651.9,정신,호남,,
171,2018-10-07,2018-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,FUR-CH-10003354,가구,의자,"Novimex Bag Chairs, Black",199802.7,5,0.1,-20058.3,김성식,수도권,,
172,2018-10-07,2018-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,OFF-ST-10000542,사무용품,수납용품,"Fellowes Folders, Industrial",49351.68,2,0.1,2717.28,김성식,수도권,,
173,2018-10-07,2018-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,FUR-BO-10002682,가구,책장,"Safco Stackable Bookrack, Mobile",410290.92,3,0.1,9033.12,김성식,수도권,,
174,2018-10-07,2018-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,OFF-BI-10002243,사무용품,바인더,"Wilson Jones 3-Hole Punch, Durable",54143.64,2,0.1,19810.44,김성식,수도권,,
175,2018-10-07,2018-10-12,빠른 배송,DK-13375,송도희,소비자,양주시,경기도,대한민국,FUR-FU-10002659,가구,가구류,"Eldon Clock, Black",466968.24,9,0.1,124370.64,김성식,수도권,,
176,2018-06-16,2018-06-21,표준 배송,MD-17860,황상철,기업 고객,과천시,경기도,대한민국,TEC-CO-10003354,사무기기,복사기,"Brother Fax Machine, Laser",2339357.76,8,0.1,519759.36,김성식,수도권,,
191,2018-06-21,2018-06-27,표준 배송,FM-14290,유경호,홈 오피스,장흥군,전라남도,대한민국,OFF-SU-10004236,사무용품,일반 사무용품,"Stiletto Letter Opener, Steel",138140.64,6,0.1,35141.04,정신,호남,,
199,2018-11-17,2018-11-21,표준 배송,PJ-19015,임은수,소비자,서귀포시,제주특별자치도,대한민국,OFF-BI-10004666,사무용품,바인더,"Wilson Jones Binding Machine, Durable",128158.308,3,0.17,43151.508,정신,호남,,
200,2018-11-17,2018-11-21,표준 배송,PJ-19015,임은수,소비자,서귀포시,제주특별자치도,대한민국,OFF-ST-10003203,사무용품,수납용품,"Eldon Lockers, Wire Frame",500289.804,3,0.17,156682.404,정신,호남,,
201,2018-06-14,2018-06-16,특급 배송,PB-19105,최정희,소비자,동구,대구광역시,대한민국,OFF-BI-10001312,사무용품,바인더,"Cardinal 3-Hole Punch, Clear",86475.6,3,0,36261,최진수,영남,,
202,2018-06-14,2018-06-16,특급 배송,PB-19105,최정희,소비자,동구,대구광역시,대한민국,OFF-LA-10002364,사무용품,라벨,"Smead Shipping Labels, Alphabetical",163220.4,14,0,47124,최진수,영남,,
206,2018-06-04,2018-06-10,표준 배송,CM-12115,문유린,소비자,영등포구,서울특별시,대한민국,OFF-SU-10001535,사무용품,일반 사무용품,"Elite Box Cutter, High Speed",213526.8,6,0,34149.6,김성식,수도권,,
208,2018-12-08,2018-12-13,표준 배송,DK-12985,장규보,소비자,은평구,서울특별시,대한민국,OFF-ST-10003547,사무용품,수납용품,"Smead Shelving, Blue",165696.552,4,0.17,53822.952,김성식,수도권,,
209,2018-12-08,2018-12-13,표준 배송,DK-12985,장규보,소비자,은평구,서울특별시,대한민국,FUR-FU-10001130,가구,가구류,"Rubbermaid Stacking Tray, Erganomic",82538.91,5,0.27,-81.09,김성식,수도권,,
210,2018-05-29,2018-06-03,표준 배송,GH-14665,노수정,소비자,인제군,강원도,대한민국,TEC-AC-10000221,사무기기,악세사리,"Belkin Memory Card, Programmable",593181,5,0,124542,박진석,강원,,
212,2018-10-09,2018-10-11,빠른 배송,TB-21595,백인수,소비자,안산시,경기도,대한민국,FUR-BO-10001753,가구,책장,"Dania Stackable Bookrack, Traditional",308677.5,5,0.5,-37102.5,김성식,수도권,,
223,2018-10-29,2018-11-05,표준 배송,PP-18955,권동탁,홈 오피스,구리시,경기도,대한민국,OFF-BI-10003012,사무용품,바인더,"Wilson Jones Hole Reinforcements, Economy",5544.72,2,0.4,220.32,김성식,수도권,,
224,2018-10-29,2018-11-05,표준 배송,PP-18955,권동탁,홈 오피스,구리시,경기도,대한민국,TEC-PH-10004618,사무기기,전화기,"Motorola Speaker Phone, VoIP",715323.96,9,0.4,-262346.04,김성식,수도권,,
225,2018-11-27,2018-12-02,표준 배송,CS-12355,홍진영,소비자,인제군,강원도,대한민국,OFF-LA-10000506,사무용품,라벨,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",11839.14,2,0.47,-4072.86,박진석,강원,,
226,2018-03-17,2018-03-22,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,OFF-AP-10000043,사무용품,가전,"Cuisinart Toaster, Silver",199059.12,4,0.1,66255.12,최진수,영남,,
227,2018-03-17,2018-03-22,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,TEC-CO-10003777,사무기기,복사기,"Hewlett Copy Machine, Color",3365553.24,14,0.1,373607.64,최진수,영남,,
228,2018-03-17,2018-03-22,빠른 배송,BE-11455,구보검,홈 오피스,달서구,대구광역시,대한민국,OFF-BI-10000373,사무용품,바인더,"Ibico Hole Reinforcements, Economy",38500.92,6,0.1,679.32,최진수,영남,,
229,2018-12-12,2018-12-16,표준 배송,EB-13930,고영아,소비자,동구,인천광역시,대한민국,OFF-EN-10002700,사무용품,봉투,"Kraft Interoffice Envelope, with clear poly window",81836.028,3,0.47,-18593.172,김성식,수도권,,
231,2018-04-16,2018-04-21,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,OFF-SU-10003897,사무용품,일반 사무용품,"Stiletto Ruler, High Speed",95618.88,7,0.1,14865.48,박진석,강원,,
232,2018-04-16,2018-04-21,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,TEC-MA-10001261,사무기기,전산기기,"Konica Printer, Wireless",1721139.84,7,0.1,688267.44,박진석,강원,,
233,2018-04-16,2018-04-21,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,OFF-AP-10001503,사무용품,가전,"KitchenAid Microwave, Black",1421752.5,5,0.1,584383.5,박진석,강원,,
234,2018-04-16,2018-04-21,표준 배송,EG-13900,오혁수,소비자,홍천군,강원도,대한민국,TEC-CO-10002674,사무기기,복사기,"Sharp Fax and Copier, High-Speed",765612,5,0.1,-34119,박진석,강원,,
235,2018-09-02,2018-09-06,표준 배송,EH-13945,임문도,소비자,창녕군,경상남도,대한민국,TEC-AC-10003407,사무기기,악세사리,"Memorex Mouse, Erganomic",158997.6,6,0,22215.6,최진수,영남,,
236,2018-11-11,2018-11-15,표준 배송,HZ-14950,송보민,소비자,영월군,강원도,대한민국,TEC-PH-10001921,사무기기,전화기,"Nokia Signal Booster, with Caller ID",139230,1,0,15300,박진석,강원,,
237,2018-08-25,2018-08-25,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,OFF-EN-10003540,사무용품,봉투,"Cameo Mailers, Set of 50",64612.512,2,0.17,17121.312,김성식,수도권,,
238,2018-08-25,2018-08-25,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,OFF-AR-10002109,사무용품,필기구,"Binney & Smith Sketch Pad, Fluorescent",80562.456,2,0.17,10672.056,김성식,수도권,,
239,2018-08-25,2018-08-25,당일 배송,MC-17275,임다영,소비자,오산시,경기도,대한민국,TEC-PH-10003075,사무기기,전화기,"Samsung Signal Booster, Full Size",466916.832,4,0.17,-84495.168,김성식,수도권,,
263,2018-09-19,2018-09-21,빠른 배송,CS-12130,허상재,소비자,신안군,전라남도,대한민국,FUR-BO-10001212,가구,책장,"Safco Classic Bookcase, Mobile",1618140.24,4,0.1,17882.64,정신,호남,,
273,2018-07-11,2018-07-14,빠른 배송,TH-21100,전병만,소비자,광산구,광주광역시,대한민국,OFF-LA-10000707,사무용품,라벨,"Avery Removable Labels, Adjustable",44064,5,0,1224,정신,호남,,
274,2018-12-27,2018-12-29,특급 배송,CV-12805,유희라,기업 고객,포천시,경기도,대한민국,OFF-PA-10000776,사무용품,종이,"Xerox Cards & Envelopes, Premium",183477.6,4,0,86169.6,김성식,수도권,,
277,2018-06-19,2018-06-25,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-LA-10001548,사무용품,라벨,"Avery Shipping Labels, Adjustable",21083.4,4,0.47,-9149.4,김성식,수도권,,
278,2018-11-14,2018-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-SU-10004008,사무용품,일반 사무용품,"Kleencut Letter Opener, Steel",72705.6,3,0,36352.8,김성식,수도권,,
279,2018-11-14,2018-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",856953,5,0,102816,김성식,수도권,,
280,2018-11-14,2018-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-ST-10004830,사무용품,수납용품,"Eldon Lockers, Blue",605604.6,3,0,12025.8,김성식,수도권,,
281,2018-11-14,2018-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,FUR-BO-10004529,가구,책장,"Sauder 3-Shelf Cabinet, Pine",171390.6,1,0,20563.2,김성식,수도권,,
282,2018-11-14,2018-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,TEC-MA-10004421,사무기기,전산기기,"Konica Inkjet, Wireless",2238818.4,7,0,1052150.4,김성식,수도권,,
283,2018-11-14,2018-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-EN-10001789,사무용품,봉투,"Kraft Peel and Seal, Set of 50",104499,5,0,8262,김성식,수도권,,
284,2018-11-14,2018-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,FUR-BO-10002736,가구,책장,"Sauder Stackable Bookrack, Mobile",1198051.2,8,0,191678.4,김성식,수도권,,
285,2018-11-14,2018-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,TEC-CO-10000794,사무기기,복사기,"Hewlett Wireless Fax, High-Speed",385957.8,1,0,154377,김성식,수도권,,
286,2018-11-14,2018-11-18,표준 배송,JL-15235,우설희,소비자,광명시,경기도,대한민국,OFF-LA-10004756,사무용품,라벨,"Avery Removable Labels, Laser Printer Compatible",32864.4,3,0,13402.8,김성식,수도권,,
291,2018-12-04,2018-12-06,특급 배송,SM-20320,정하은,홈 오피스,보령시,충청남도,대한민국,FUR-CH-10004580,가구,의자,"Office Star Bag Chairs, Adjustable",59088.6,1,0,18298.8,금나나,충청,,
296,2018-12-31,2019-01-02,특급 배송,JA-15970,차경철,소비자,금정구,부산광역시,대한민국,OFF-AR-10002389,사무용품,필기구,"Binney & Smith Pens, Fluorescent",40392,3,0,6793.2,최진수,영남,,
299,2018-06-24,2018-06-26,빠른 배송,EM-14065,한민,소비자,속초시,강원도,대한민국,OFF-EN-10001976,사무용품,봉투,"Jiffy Interoffice Envelope, Security-Tint",149450.4,3,0,41769,박진석,강원,,
315,2018-04-17,2018-04-17,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,OFF-ST-10000351,사무용품,수납용품,"Smead Shelving, Wire Frame",195840,4,0,1958.4,금나나,충청,IN-2018-61932,Yes
316,2018-04-17,2018-04-17,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,TEC-PH-10001457,사무기기,전화기,"Apple Smart Phone, Full Size",1300500,2,0,143024.4,금나나,충청,IN-2018-61932,Yes
317,2018-04-17,2018-04-17,당일 배송,HA-14920,도현윤,소비자,서구,대전광역시,대한민국,FUR-FU-10004820,가구,가구류,"Advantus Photo Frame, Erganomic",105264,2,0,45226.8,금나나,충청,IN-2018-61932,Yes
318,2018-10-02,2018-10-06,표준 배송,NF-18385,강진원,소비자,세종특별자치시,세종특별자치시,대한민국,TEC-PH-10001670,사무기기,전화기,"Motorola Smart Phone, Full Size",2627438.4,4,0,998416.8,금나나,충청,,
326,2018-01-17,2018-01-21,표준 배송,KB-16315,길연지,소비자,서구,인천광역시,대한민국,OFF-BI-10004869,사무용품,바인더,"Avery 3-Hole Punch, Recycled",95598.072,4,0.17,35622.072,김성식,수도권,,
327,2018-01-17,2018-01-21,표준 배송,KB-16315,길연지,소비자,서구,인천광역시,대한민국,OFF-AR-10000762,사무용품,필기구,"BIC Pens, Water Color",52002.864,4,0.27,-1485.936,김성식,수도권,,
330,2018-11-27,2018-11-29,빠른 배송,JF-15355,권경문,소비자,진도군,전라남도,대한민국,OFF-BI-10003340,사무용품,바인더,"Acco Index Tab, Durable",27356.4,3,0,6242.4,정신,호남,,
337,2018-11-03,2018-11-05,특급 배송,AW-10930,류혜령,홈 오피스,동해시,강원도,대한민국,OFF-BI-10002853,사무용품,바인더,"Avery Binder Covers, Recycled",23317.2,2,0,10954.8,박진석,강원,,
350,2018-03-22,2018-03-24,특급 배송,SG-20890,민효신,기업 고객,중구,울산광역시,대한민국,TEC-PH-10002570,사무기기,전화기,"Samsung Headset, Full Size",265929.3,7,0.5,-180891.9,최진수,영남,,
